Time,VehicleID,TowerID,RSSI,Distance,TowerLoad
1,2049,1,6.89281,2042.91,1
1,2050,1,15.0294,2108.88,1
1,2051,1,12.2873,1496.79,1
1,2052,1,14.174,1687.71,1
1,2053,1,5.48877,2561.86,1
1,2054,1,9.47268,1670.76,1
1,2055,1,31.6776,554.454,1
1,2056,1,7.84638,2293.74,1
1,2057,1,9.50318,2336.03,1
1,2058,1,14.7431,1137.33,1
1,2049,2,9.53088,1748.82,0.857143
1,2050,2,17.5433,1818.54,0.857143
1,2051,2,15.0664,1270.72,0.857143
1,2052,2,16.6726,1456.67,0.857143
1,2053,2,7.55671,2267.98,0.857143
1,2054,2,12.7581,1376.71,0.857143
1,2055,2,40.6618,326.569,0.857143
1,2056,2,9.7209,2053.89,0.857143
1,2057,2,11.7445,2047.04,0.857143
1,2058,2,17.6216,959.906,0.857143
1,2049,3,6.89281,2042.91,0.75
1,2050,3,15.0294,2108.88,0.75
1,2051,3,12.2873,1496.79,0.75
1,2052,3,14.174,1687.71,0.75
1,2053,3,5.48877,2561.86,0.75
1,2054,3,9.47268,1670.76,0.75
1,2055,3,31.6776,554.454,0.75
1,2056,3,7.84638,2293.74,0.75
1,2057,3,9.50318,2336.03,0.75
1,2058,3,14.7431,1137.33,0.75
1,2049,4,9.53088,1748.82,0.666667
1,2050,4,17.5433,1818.54,0.666667
1,2051,4,15.0664,1270.72,0.666667
1,2052,4,16.6726,1456.67,0.666667
1,2053,4,7.55671,2267.98,0.666667
1,2054,4,12.7581,1376.71,0.666667
1,2055,4,40.6618,326.569,0.666667
1,2056,4,9.7209,2053.89,0.666667
1,2057,4,11.7445,2047.04,0.666667
1,2058,4,17.6216,959.906,0.666667
1,2049,5,6.89281,2042.91,0.6
1,2050,5,15.0294,2108.88,0.6
1,2051,5,12.2873,1496.79,0.6
1,2052,5,14.174,1687.71,0.6
1,2053,5,5.48877,2561.86,0.6
1,2054,5,9.47268,1670.76,0.6
1,2055,5,31.6776,554.454,0.6
1,2056,5,7.84638,2293.74,0.6
1,2057,5,9.50318,2336.03,0.6
1,2058,5,14.7431,1137.33,0.6
2,2049,1,6.88921,2043.35,0.636364
2,2050,1,12.4175,2107.21,0.636364
2,2051,1,19.278,1495.19,0.636364
2,2052,1,10.3108,1691.93,0.636364
2,2053,1,-7.3155,2563.17,0.636364
2,2054,1,2.60363,1669.45,0.636364
2,2055,1,33.5358,555.706,0.636364
2,2056,1,5.113,2295.84,0.636364
2,2057,1,0.235917,2334.28,0.636364
2,2058,1,8.16481,1137.61,0.636364
2,2049,2,7.63974,1749.25,0.583333
2,2050,2,12.3859,1816.85,0.583333
2,2051,2,21.0693,1269.22,0.583333
2,2052,2,12.6534,1460.86,0.583333
2,2053,2,-5.4323,2269.3,0.583333
2,2054,2,4.42196,1375.41,0.583333
2,2055,2,44.6971,326.825,0.583333
2,2056,2,6.88579,2055.88,0.583333
2,2057,2,2.13916,2044.96,0.583333
2,2058,2,9.99658,961.056,0.583333
2,2049,3,5.00226,2043.35,0.538462
2,2050,3,9.86957,2107.21,0.538462
2,2051,3,18.2884,1495.19,0.538462
2,2052,3,10.1611,1691.93,0.538462
2,2053,3,-7.49906,2563.17,0.538462
2,2054,3,1.13371,1669.45,0.538462
2,2055,3,35.688,555.706,0.538462
2,2056,3,5.01209,2295.84,0.538462
2,2057,3,-0.106682,2334.28,0.538462
2,2058,3,7.13419,1137.61,0.538462
2,2049,4,7.63974,1749.25,0.5
2,2050,4,12.3859,1816.85,0.5
2,2051,4,21.0693,1269.22,0.5
2,2052,4,12.6534,1460.86,0.5
2,2053,4,-5.4323,2269.3,0.5
2,2054,4,4.42196,1375.41,0.5
2,2055,4,44.6971,326.825,0.5
2,2056,4,6.88579,2055.88,0.5
2,2057,4,2.13916,2044.96,0.5
2,2058,4,9.99658,961.056,0.5
2,2049,5,5.00226,2043.35,0.466667
2,2050,5,9.86957,2107.21,0.466667
2,2051,5,18.2884,1495.19,0.466667
2,2052,5,10.1611,1691.93,0.466667
2,2053,5,-7.49906,2563.17,0.466667
2,2054,5,1.13371,1669.45,0.466667
2,2055,5,35.688,555.706,0.466667
2,2056,5,5.01209,2295.84,0.466667
2,2057,5,-0.106682,2334.28,0.466667
2,2058,5,7.13419,1137.61,0.466667
3,2049,1,3.00982,2044.04,0
3,2050,1,5.46995,2104.3,0
3,2051,1,17.6496,1492.54,0
3,2052,1,5.26231,1694.73,0
3,2053,1,-8.40247,2565.26,0
3,2054,1,0.996778,1667.17,0
3,2055,1,40.297,557.841,0
3,2056,1,1.6747,2299.28,0
3,2057,1,0.475956,2334.04,0
3,2058,1,17.3617,1134.63,0
3,2049,2,6.56161,1749.94,0
3,2050,2,9.49159,1813.9,0
3,2051,2,21.5056,1266.76,0
3,2052,2,7.92626,1464.06,0
3,2053,2,-5.73503,2271.41,0
3,2054,2,4.32503,1373.13,0
3,2055,2,49.1695,327.298,0
3,2056,2,2.67223,2059.12,0
3,2057,2,4.43058,2044.67,0
3,2058,2,21.1621,958.708,0
3,2049,3,3.9251,2044.04,0
3,2050,3,6.97115,2104.3,0
3,2051,3,18.7218,1492.54,0
3,2052,3,5.44306,1694.73,0
3,2053,3,-7.7999,2565.26,0
3,2054,3,1.03183,1667.17,0
3,2055,3,40.1199,557.841,0
3,2056,3,0.799883,2299.28,0
3,2057,3,2.18407,2334.04,0
3,2058,3,18.3027,1134.63,0
3,2049,4,6.56161,1749.94,0
3,2050,4,9.49159,1813.9,0
3,2051,4,21.5056,1266.76,0
3,2052,4,7.92626,1464.06,0
3,2053,4,-5.73503,2271.41,0
3,2054,4,4.32503,1373.13,0
3,2055,4,49.1695,327.298,0
3,2056,4,2.67223,2059.12,0
3,2057,4,4.43058,2044.67,0
3,2058,4,21.1621,958.708,0
3,2049,5,3.9251,2044.04,0
3,2050,5,6.97115,2104.3,0
3,2051,5,18.7218,1492.54,0
3,2052,5,5.44306,1694.73,0
3,2053,5,-7.7999,2565.26,0
3,2054,5,1.03183,1667.17,0
3,2055,5,40.1199,557.841,0
3,2056,5,0.799883,2299.28,0
3,2057,5,2.18407,2334.04,0
3,2058,5,18.3027,1134.63,0
